Kampen	 1 676,26	 6 371	 1 810,25	 6 325	 1 743,255
Kapelle	  214,84	 1 401	  152,82	 1 419	  183,830
Katwijk	 3 411,06	 7 272	 3 618,03	 7 207	 3 514,545
Kerkrade	 4 060,88	 3 295	 3 874,86	 3 167	 3 967,870
Koggenland	  303,53	 2 224	  300,89	 2 206	  302,210
Krimpen aan den IJssel	  819,68	 3 140	  988,20	 3 140	  903,940
Krimpenerwaard	 1 693,10	 5 339	 1 658,52	 5 408	 1 675,810
Laarbeek	  331,09	 2 079	  259,30	 2 038	  295,195
Landerd	  237,41	 1 477	  333,72	 1 494	  285,565
Landgraaf	 1 995,48	 2 906	 1 860,30	 2 895	 1 927,890
Landsmeer	  55,47	 1 295	  47,88	 1 290	  51,675
Langedijk	  705,10	 2 944	  617,92	 2 907	  661,510
Lansingerland	  294,36	 8 231	  548,43	 8 149	  421,395
Laren	  0,00	 1 183	  0,00	 1 153	  0,000
Leeuwarden	 5 052,85	 11 568	 5 224,67	 11 490	 5 138,760
Leiden	 5 549,55	 9 841	 5 707,73	 9 783	 5 628,640
Leiderdorp	  550,59	 2 959	  560,14	 2 966	  555,365
Leidschendam-Voorburg	 2 534,90	 7 061	 2 749,30	 7 064	 2 642,100
Lelystad	 8 677,33	 8 774	 8 488,78	 8 656	 8 583,055
Leudal	  711,37	 2 672	  842,07	 2 575	  776,720
Leusden	  16,40	 3 065	  0,00	 3 039	  8,200
Lingewaard	  564,21	 4 726	  679,46	 4 690	  621,835
Lisse	  297,77	 2 265	  375,80	 2 199	  336,785
Lochem	  392,72	 2 909	  393,15	 2 863	  392,935
Loon op Zand	  613,79	 2 026	  624,09	 2 004	  618,940
Lopik	  523,96	 1 420	  507,98	 1 352	  515,970
Loppersum	  158,04	  905	  221,03	  886	  189,535
Losser	  692,72	 2 021	  687,69	 2 000	  690,205
Maasdriel	  893,24	 2 374	  797,47	 2 396	  845,355
Maasgouw	  218,47	 1 547	  149,00	 1 541	  183,735
Maassluis	 3 355,35	 2 988	 3 299,45	 3 006	 3 327,400
Maastricht	 6 007,12	 7 794	 6 153,00	 7 783	 6 080,060
Medemblik	 1 412,26	 4 348	 1 660,83	 4 329	 1 536,545
Meerssen	  244,16	 1 452	  174,65	 1 447	  209,405
Meierijstad	 2 697,70	 7 502	 2 833,62	 7 446	 2 765,660
Meppel	  676,14	 3 725	  755,33	 3 645	  715,735
Middelburg	 2 181,58	 4 865	 2 605,23	 4 933	 2 393,405
Midden-Delfland	  9,87	 2 549	  9,19	 2 579	  9,530
Midden-Drenthe	  385,14	 2 853	  440,28	 2 780	  412,710
Midden-Groningen	 3 620,65	 5 535	 3 667,80	 5 388	 3 644,225
Mill en Sint Hubert	  139,79	  922	  260,75	  918	  200,270
Moerdijk	 1 145,90	 3 452	 1 222,13	 3 436	 1 184,015
Molenlanden	 1 009,91	 4 976	 1 119,48	 4 946	 1 064,695
Montferland	 1 526,21	 2 854	 1 681,96	 2 828	 1 604,085
Montfoort	  160,98	 1 567	  263,75	 1 512	  212,365
Mook en Middelaar	  21,53	  578	  5,25	  568	  13,390
Neder-Betuwe	 1 351,10	 3 044	 1 370,11	 3 085	 1 360,605
Nederweert	  234,93	 1 367	  369,45	 1 363	  302,190
Nieuwegein	 3 202,67	 5 898	 3 062,60	 5 912	 3 132,635
Nieuwkoop	  491,18	 2 613	  604,98	 2 597	  548,080
Nijkerk	 1 257,33	 4 875	 1 162,44	 4 869	 1 209,885
Nijmegen	 8 806,28	 14 610	 9 060,95	 14 654	 8 933,615
Nissewaard	 6 026,42	 7 904	 6 674,44	 7 917	 6 350,430
Noardeast-Frysl‰n	 1 620,38	 4 805	 1 648,33	 4 710	 1 634,355
Noord-Beveland	  90,18	  532	  152,23	  526	  121,205
Noordenveld	  682,56	 2 854	  631,25	 2 749	  656,905
Noordoostpolder	 3 285,07	 5 330	 3 034,91	 5 265	 3 159,990
Noordwijk	  659,71	 4 083	  675,77	 4 086	  667,740
Nuenen, Gerwen en Nederwetten	  68,68	 1 975	  98,58	 2 040	  83,630
Nunspeet	  649,61	 2 971	  843,89	 3 080	  746,750
Oegstgeest	  0,00	 3 064	  0,00	 3 114	  0,000
Oirschot	  7,85	 1 698	  107,12	 1 696	  57,485
Oisterwijk	  500,72	 2 401	  507,54	 2 390	  504,130
Oldambt	 2 082,41	 3 188	 2 120,21	 3 116	 2 101,310
Oldebroek	  749,71	 2 682	  793,71	 2 669	  771,710
Oldenzaal	  789,28	 3 382	  851,05	 3 225	  820,165
Olst-Wijhe	  298,76	 1 535	  246,73	 1 502	  272,745
Ommen	  196,25	 1 826	  108,14	 1 814	  152,195
Oost Gelre	  353,63	 2 714	  320,69	 2 654	  337,160
Oosterhout	 2 914,73	 4 957	 3 108,40	 5 012	 3 011,565
Ooststellingwerf	  928,71	 2 330	  757,25	 2 318	  842,980
Oostzaan	  272,06	 1 028	  277,09	 1 040	  274,575
Opmeer	  194,61	 1 101	  147,62	 1 069	  171,115
Opsterland	  655,70	 3 028	  612,35	 2 951	  634,025
Oss	 5 373,82	 8 240	 5 412,02	 8 192	 5 392,920
Oude IJsselstreek	 1 958,10	 3 593	 1 825,28	 3 487	 1 891,690
Ouder-Amstel	  205,31	 1 557	  179,30	 1 565	  192,305
Oudewater	  88,81	 1 044	  89,46	 1 043	  89,135
Overbetuwe	  318,11	 5 268	  441,05	 5 163	  379,580
Papendrecht	 1 246,00	 3 339	 1 254,32	 3 299	 1 250,160
Peel en Maas	  875,42	 3 849	  942,75	 3 789	  909,085
Pekela	  903,73	 1 133	 1 018,97	 1 149	  961,350
Pijnacker-Nootdorp	  513,70	 6 594	  531,36	 6 440	  522,530
Purmerend	 4 421,36	 7 169	 4 190,68	 6 952	 4 306,020
Putten	  724,09	 2 528	  836,23	 2 521	  780,160
Raalte	  599,20	 3 704	  679,65	 3 650	  639,425
Reimerswaal	 1 568,41	 2 856	 1 659,45	 2 855	 1 613,930
Renkum	  387,56	 2 710	  493,33	 2 622	  440,445
Renswoude	  84,51	  509	  89,61	  494	  87,060
Reusel-De Mierden	  126,65	 1 334	  191,28	 1 325	  158,965
Rheden	 1 799,43	 3 714	 1 869,12	 3 707	 1 834,275
Rhenen	 1 006,72	 2 197	 1 146,26	 2 158	 1 076,490
Ridderkerk	 2 839,33	 4 346	 2 931,19	 4 449	 2 885,260
Rijssen-Holten	  987,59	 4 800	  953,47	 4 727	  970,530
Rijswijk	 3 893,15	 4 798	 4 126,10	 5 012	 4 009,625
Roerdalen	  627,76	 1 567	  683,33	 1 578	  655,545
Roermond	 5 117,53	 5 308	 4 634,14	 5 309	 4 875,835
Roosendaal	 5 890,99	 7 134	 5 386,92	 7 098	 5 638,955
Rotterdam	 102 629,53	 62 667	 102 107,83	 62 925	 102 368,680
Rozendaal	  0,00	  232	  0,00	  222	  0,000
Rucphen	 1 071,27	 1 665	 1 050,71	 1 695	 1 060,990
Schagen	  406,92	 4 406	  516,28	 4 301	  461,600
Scherpenzeel	  154,12	 1 335	  169,08	 1 344	  161,600
Schiedam	 13 226,41	 8 071	 12 560,04	 7 976	 12 893,225
Schiermonnikoog	  5,92	  50	  20,31	  51	  13,115
Schouwen-Duiveland	  782,44	 2 875	  903,10	 2 882	  842,770
Simpelveld	  227,07	  786	  233,38	  781	  230,225
Sint Anthonis	  196,68	  956	  227,80	  946	  212,240
Sint-Michielsgestel	  238,38	 2 925	  345,93	 2 921	  292,155
Sittard-Geleen	 4 248,51	 7 316	 4 285,77	 7 199	 4 267,140
Sliedrecht	 1 387,13	 2 748	 1 469,75	 2 776	 1 428,440
Sluis	  743,36	 1 634	  777,88	 1 571	  760,620
Smallingerland	 2 267,86	 5 525	 2 261,92	 5 450	 2 264,890
Soest	 2 088,52	 4 440	 2 196,14	 4 368	 2 142,330
Someren	  305,97	 1 569	  336,32	 1 567	  321,145
Son en Breugel	  125,78	 1 788	  201,08	 1 800	  163,430
Stadskanaal	 1 952,42	 2 895	 1 607,49	 2 807	 1 779,955
Staphorst	  611,92	 2 339	  728,47	 2 368	  670,195
Stede Broec	 1 013,04	 2 138	 1 098,58	 2 104	 1 055,810
Steenbergen	  726,90	 1 921	  901,98	 1 906	  814,440
Steenwijkerland	 1 654,58	 4 101	 1 664,17	 4 141	 1 659,375
Stein	  449,91	 1 746	  490,15	 1 702	  470,030
Stichtse Vecht	 1 145,12	 7 044	 1 121,71	 6 907	 1 133,415
Sœdwest-Frysl‰n	 2 843,27	 9 006	 2 754,33	 8 780	 2 798,800
Terneuzen	 3 427,28	 4 475	 3 507,15	 4 469	 3 467,215
Terschelling	  0,00	  380	  28,68	  391	  14,340
Texel	  434,52	 1 107	  422,01	 1 080	  428,265
Teylingen	  104,81	 3 477	  119,10	 3 492	  111,955
Tholen	 1 359,67	 2 907	 1 468,76	 2 915	 1 414,215
Tiel	 4 385,09	 4 026	 4 320,85	 3 937	 4 352,970
Tilburg	 17 229,87	 19 575	 17 302,00	 19 440	 17 265,935
Tubbergen	  0,00	 2 263	  0,00	 2 247	  0,000
Twenterand	 1 793,42	 3 887	 1 638,48	 3 793	 1 715,950
Tynaarlo	  0,00	 3 741	  0,00	 3 792	  0,000
Tytsjerksteradiel	 1 222,58	 3 207	 1 027,44	 3 132	 1 125,010
Uden	 1 965,96	 4 079	 1 964,35	 4 016	 1 965,155
Uitgeest	  48,43	 1 383	  176,37	 1 391	  112,400
Uithoorn	  896,94	 2 908	 1 123,75	 2 954	 1 010,345
Urk	 2 179,08	 3 690	 2 244,64	 3 742	 2 211,860
Utrecht	 27 732,97	 36 432	 25 991,34	 36 485	 26 862,155
Utrechtse Heuvelrug	  726,05	 4 826	  815,05	 4 807	  770,550
Vaals	  452,87	  554	  435,94	  549	  444,405
Valkenburg aan de Geul	  319,38	 1 014	  334,62	  995	  327,000
Valkenswaard	  549,77	 2 452	  709,22	 2 483	  629,495
Veendam	 1 785,77	 2 623	 1 848,24	 2 544	 1 817,005
Veenendaal	 3 074,45	 7 446	 2 958,56	 7 502	 3 016,505
Veere	  233,39	 1 895	  171,17	 1 913	  202,280
Veldhoven	  465,58	 4 003	  607,31	 4 014	  536,445
Velsen	 3 193,58	 6 000	 3 327,44	 6 022	 3 260,510
Venlo	 8 484,65	 8 988	 8 322,55	 8 924	 8 403,600
Venray	 2 171,51	 3 800	 1 969,97	 3 709	 2 070,740
Vijfheerenlanden	 3 198,02	 5 805	 3 241,47	 5 841	 3 219,745
Vlaardingen	 8 719,84	 6 947	 8 609,53	 6 961	 8 664,685
Vlieland	  40,01	  70	  34,00	  67	  37,005
Vlissingen	 2 970,46	 3 921	 2 969,16	 3 880	 2 969,810
Voerendaal	  75,13	 1 044	  98,42	 1 075	  86,775
